iter	Passed	Remaining
900	6842	751
901	6848	744
902	6856	736
903	6866	729
904	6873	721
905	6881	714
906	6888	706
907	6896	698
908	6904	691
909	6911	683
910	6921	676
911	6928	668
912	6936	660
913	6944	653
914	6951	645
915	6960	638
916	6967	630
917	6975	623
918	6984	615
919	6994	608
920	7001	600
921	7012	593
922	7018	585
923	7027	578
924	7035	570
925	7042	562
926	7050	555
927	7057	547
928	7064	539
929	7071	532
930	7078	524
931	7085	516
932	7092	509
933	7099	501
934	7106	494
935	7114	486
936	7121	478
937	7128	471
938	7136	463
939	7144	456
940	7154	448
941	7161	440
942	7172	433
943	7180	425
944	7190	418
945	7197	410
946	7205	403
947	7213	395
948	7222	388
949	7230	380
950	7239	373
951	7250	365
952	7259	358
953	7270	350
954	7278	342
955	7288	335
956	7297	327
957	7306	320
958	7315	312
959	7324	305
960	7333	297
961	7341	289
962	7349	282
963	7357	274
964	7365	267
965	7372	259
966	7380	251
967	7389	244
968	7398	236
969	7405	229
970	7411	221
971	7418	213
972	7425	206
973	7433	198
974	7440	190
975	7448	183
976	7455	175
977	7464	167
978	7471	160
979	7479	152
980	7486	144
981	7493	137
982	7500	129
983	7507	122
984	7514	114
985	7521	106
986	7530	99
987	7538	91
988	7547	83
989	7557	76
990	7566	68
991	7577	61
992	7585	53
993	7595	45
994	7603	38
995	7612	30
996	7622	22
997	7630	15
998	7641	7
999	7649	0
